Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-621.4648	-888.0751	266.6103	1.358322	2.219015	0.1229116	2.988205
6	-623.8115	-893.0114	269.1999	1.404833	1.096485	0.1229116	1.811512
12	-622.8482	-891.2736	268.4254	1.455736	1.096485	0.2026194	2.11659
18	-618.1935	-887.4741	269.2806	1.441261	0.5184845	0.04851526	2.411183
24	-623.8126	-891.6907	267.8781	1.354195	1.641126	0.05341945	2.620909
30	-616.0937	-884.7908	268.6971	1.446959	1.394435	0.07559421	2.086981
36	-626.3373	-892.8378	266.5005	1.086571	0.7915842	0.07559421	3.974119
42	-633.4388	-902.763	269.3242	1.367329	0.5548431	0.03476336	2.436631
48	-647.985	-917.7753	269.7903	1.291558	0.1743508	0.03476336	2.703205
54	-645.6941	-913.9845	268.2904	1.167802	0.7201993	0.06207648	2.969209
60	-634.4769	-900.2367	265.7598	1.075575	2.537809	0.06883825	3.696515
66	-628.7678	-895.1142	266.3464	1.271082	2.948064	0.0742686	3.112841
72	-632.4643	-898.8076	266.3433	1.151343	2.948064	0.06265037	3.218967
78	-648.8774	-913.6582	264.7808	1.272674	3.269134	0.1392761	3.792523
84	-620.383	-885.3774	264.9944	1.093194	7.264096	0.07516259	3.277902
90	-625.9324	-891.6015	265.6691	1.245877	3.421335	0.04852494	3.488196
96	-630.0914	-893.638	263.5466	1.007552	7.231398	0.07690109	4.163477
102	-623.9126	-889.7249	265.8123	1.542906	4.453217	0.0313918	3.068494
108	-617.8421	-885.9561	268.114	1.667924	2.437579	0.07543523	1.89935
114	-617.7554	-887.3121	269.5567	1.504288	1.087418	0.07543523	1.638835
120	-617.5488	-886.9404	269.3916	1.465934	1.321049	0.07543523	1.638835
126	-621.5895	-889.0883	267.4988	1.808953	4.235412	0.1057876	1.638835
132	-633.1454	-899.3793	266.2339	1.388012	6.522917	0.1462872	2.259189
138	-619.2295	-886.067	266.8374	1.402956	3.487199	0.1098533	2.506554
144	-630.0466	-897.1914	267.1447	1.314597	3.198351	0.06638583	2.561009
150	-619.2203	-886.3414	267.1211	1.468286	4.410939	0.1615063	1.9544
156	-622.9889	-888.9762	265.9873	1.398263	9.001444	0.1156636	2.172292
162	-634.9236	-901.9823	267.0587	1.303366	5.852891	0.1726634	1.813225
168	-636.1643	-902.4532	266.2888	1.403605	3.201486	0.1527019	2.813366
174	-627.3106	-894.6069	267.2963	1.109356	0.6613761	0.05819676	3.646456
180	-624.9311	-891.9377	267.0066	1.470218	3.201486	0.06894245	2.541665
186	-634.917	-900.5073	265.5903	1.143918	2.89175	0.2594284	3.2755
192	-624.8105	-891.0169	266.2064	1.631052	8.168932	0.2082158	1.75812
198	-631.9621	-899.1821	267.22	1.541015	5.432475	0.1229896	1.732243
204	-627.4074	-897.2499	269.8425	1.606753	0.9345576	0.05768693	1.52879
210	-632.9678	-902.7015	269.7337	1.699273	0.9345576	0.05768693	1.540936
216	-628.5108	-898.4526	269.9418	1.325473	0.424883	0.05768693	2.135571
222	-628.546	-898.7356	270.1896	1.519462	0.3576698	0.05768693	1.929813
228	-622.9234	-893.4143	270.4909	1.592319	0.5771827	0.04207736	1.445084
